planning_area,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others,year,total_hdb,Result
Ang Mo Kio,5600,25500,14800,6500,5000,4900,300,2015,52400,
Bedok,4000,21800,21000,13600,19300,12300,300,2015,60400,
Bishan,500,2000,9800,7300,4900,3200,100,2015,19700,
,,,,,,,,,,No Data Available!
Bukit Batok,700,9800,15000,8000,8900,1500,200,2015,33500,
Bukit Merah,12000,15900,14300,9100,3600,100,200,2015,51300,
Choa Chu Kang,1600,1600,21000,19200,5000,900,100,2015,43400,
Bukit Panjang,900,3500,15600,14300,5600,1300,0,2015,34300,
Jurong East,1000,6200,8000,7600,2500,0,100,2015,22900,
Queenstown,3600,14400,7900,4000,4500,1100,100,2015,29900,
Jurong West,2900,12500,31100,29200,4900,1000,0,2015,75700,
Bukit Timah,0,500,900,900,11900,9400,300,2015,2300,
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
Clementi,1200,10500,8500,3000,5100,1600,200,2015,23200,
Geylang,4500,10500,9800,4600,6300,1300,400,2015,29400,
Hougang,1500,9600,25300,14000,7700,6100,100,2015,50400,
,,,,,,,,,,No Data Available!
Punggol,1800,1900,14700,13400,1400,0,0,2015,31800,
,,,,,,,,,,No Data Available!
Sembawang,500,300,9300,10900,1000,1100,0,2015,21100,
Sengkang,1800,2200,28000,27500,4500,500,0,2015,59500,
Serangoon,300,4700,10600,6700,5300,11000,300,2015,22400,
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
Tampines,2500,13600,29400,23700,9000,1300,200,2015,69300,
Tanglin,0,0,0,100,6200,600,0,2015,200,
Toa Payoh,4900,15200,10000,6800,3100,1800,500,2015,37700,
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
Woodlands,3200,6900,29900,27000,3400,100,0,2015,67000,
Yishun,2200,13700,29800,11900,3800,1400,200,2015,57500,
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
Outram,2500,2600,1700,900,800,0,0,2015,7600,
Kallang,5700,9900,8000,4500,7800,200,400,2015,28100,
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
Marine Parade,1400,2800,1700,1300,5900,2000,100,2015,7300,
,,,,,,,,,,No Data Available!
Novena,900,2800,2200,1100,6900,1800,100,2015,7000,
Pasir Ris,700,100,12200,18200,7700,1600,100,2015,31200,
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
,,,,,,,,,,No Data Available!
Ang Mo Kio,5002,24087,14894,6664,4815,4433,325,2020,50647,
Bedok,5391,22903,22045,14226,20922,11545,519,2020,64565,
Bishan,605,2334,9882,7727,5786,3040,72,2020,20547,
Boon Lay,0,0,0,0,0,0,0,2020,0,
Bukit Batok,3335,11517,18425,10109,9338,1466,106,2020,43387,
Bukit Merah,10995,15708,17382,9790,5429,190,207,2020,53875,
Choa Chu Kang,2088,2487,24202,21241,7395,606,5,2020,50018,
Bukit Panjang,1234,3638,17144,14104,6643,817,0,2020,36120,
Jurong East,1090,7162,8455,7942,2477,0,86,2020,24649,
Queenstown,3814,13661,9424,4360,4676,1032,86,2020,31259,
Jurong West,3700,12815,31404,29247,5632,1019,61,2020,77166,
Bukit Timah,147,469,850,1027,12827,9163,129,2020,2493,
Central Water Catchment,0,0,0,0,0,0,0,2020,0,
Changi,0,0,0,0,0,0,0,2020,0,
Changi Bay,0,0,0,0,0,0,0,2020,0,
Tengah,0,0,0,0,0,0,0,2020,0,
Clementi,1117,11461,9298,3943,5988,1614,186,2020,25820,
Geylang,4174,11708,10424,4665,8880,1864,344,2020,30971,
Hougang,3132,10958,27963,15926,10899,6073,158,2020,57979,
Pioneer,0,0,0,0,0,0,0,2020,0,
Punggol,4364,5404,22277,16990,7061,69,0,2020,49035,
Seletar,0,0,0,0,0,0,0,2020,0,
Sembawang,3516,1507,11908,11653,3509,943,13,2020,28584,
Sengkang,3950,4043,31507,28680,10823,372,0,2020,68180,
Serangoon,664,4376,10514,6531,6178,9745,78,2020,22085,
Simpang,0,0,0,0,0,0,0,2020,0,
Southern Islands,0,0,0,0,0,0,0,2020,0,
Sungei Kadut,0,0,0,0,0,0,0,2020,0,
Tampines,3215,14313,31182,24136,9543,1211,81,2020,72846,
Tanglin,0,21,79,86,6493,1234,25,2020,187,
Toa Payoh,4793,16019,11368,7092,5440,1771,397,2020,39272,
Tuas,0,0,0,0,0,0,0,2020,0,
Western Islands,0,0,0,0,0,0,0,2020,0,
Western Water Catchment,0,0,0,0,0,0,0,2020,0,
Woodlands,5299,7367,31978,28321,5592,214,68,2020,72965,
Yishun,4119,16531,32083,14040,6902,1496,232,2020,66773,
Downtown Core,0,0,229,0,1282,0,36,2020,229,
Marina East,0,0,0,0,0,0,0,2020,0,
Marina South,0,0,0,0,0,0,0,2020,0,
Museum,0,0,0,0,0,0,0,2020,0,
Newton,0,0,0,0,0,0,0,2020,0,
Orchard,0,0,0,0,0,0,0,2020,0,
Outram,2889,2356,1735,625,420,0,27,2020,7605,
Kallang,6907,10940,9674,4736,7709,509,357,2020,32257,
Lim Chu Kang,0,0,0,0,0,0,0,2020,0,
Mandai,0,0,0,0,0,0,0,2020,0,
Marine Parade,1387,2946,1826,1833,6334,2603,139,2020,7993,
North-Eastern Islands,0,0,0,0,0,0,0,2020,0,
Novena,768,3342,2822,1438,7641,2193,76,2020,8370,
Pasir Ris,734,356,11809,17180,12814,1905,0,2020,30080,
Paya Lebar,0,0,0,0,0,0,0,2020,0,
River Valley,0,0,0,0,3721,252,3,2020,0,
Rochor,0,0,0,0,0,0,0,2020,0,
Singapore River,0,0,0,0,0,0,0,2020,0,
Straits View,0,0,0,0,0,0,0,2020,0,
